algorithm,size,time,cpu_percent,memory_percent,path_length
PRM,50,0.2864210605621338,78.4,69.9,118
Astar,50,0.004860877990722656,92.7,70.3,99
BFS_checker,50,0.015506744384765625,92.3,70.2,99
PRM,50,0.12902498245239258,84.1,69.7,120
Astar,50,0.006193876266479492,96.1,70.5,101
BFS_checker,50,0.012043952941894531,95.7,70.5,101
PRM,50,0.11441206932067871,87.6,70.5,128
BFS_checker,50,0.028348207473754883,92.1,70.5,99
Astar,50,0.012961149215698242,91.6,70.5,99
PRM,50,0.2144930362701416,78.0,69.9,118
Astar,50,0.005460977554321289,94.4,70.5,127
BFS_checker,50,0.014904260635375977,94.0,70.5,127
PRM,50,0.11142611503601074,88.0,69.8,
Astar,50,0.0064890384674072266,96.5,70.4,99
BFS_checker,50,0.028928756713867188,94.8,70.4,99
PRM,50,0.19855594635009766,79.7,69.9,119
Astar,50,0.015584945678710938,96.1,70.4,99
BFS_checker,50,0.025716066360473633,94.6,70.4,99
PRM,50,0.2236030101776123,80.1,69.9,119
Astar,50,0.008434057235717773,77.7,70.4,99
BFS_checker,50,0.02878093719482422,77.8,70.4,99
PRM,50,0.15038013458251953,76.9,69.9,120
Astar,50,0.00825190544128418,96.7,70.4,109
BFS_checker,50,0.023707151412963867,64.5,70.4,109
PRM,50,0.1331949234008789,63.7,70.4,132
Astar,50,0.009904861450195312,0.0,70.2,99
BFS_checker,50,0.032479047775268555,0.0,70.2,99
PRM,50,0.2291247844696045,78.8,69.9,118
Astar,50,0.008915901184082031,92.8,70.4,99
BFS_checker,50,0.01955723762512207,92.5,70.4,99
PRM,50,0.1532289981842041,83.1,69.9,119
Astar,50,0.018224716186523438,96.7,70.5,99
BFS_checker,50,0.027621746063232422,96.3,70.5,99
PRM,50,0.28336119651794434,83.5,69.9,118
Astar,50,0.016883373260498047,33.3,70.3,99
BFS_checker,50,0.024806976318359375,0.0,70.3,99
PRM,50,0.2385861873626709,78.6,69.9,118
Astar,50,0.013155937194824219,75.0,70.4,99
BFS_checker,50,0.029293060302734375,80.0,70.4,99
PRM,50,0.2423112392425537,76.4,69.8,119
BFS_checker,50,0.023426055908203125,89.5,70.4,99
Astar,50,0.011106014251708984,89.1,70.4,99
PRM,50,0.20252394676208496,77.8,70.4,118
Astar,50,0.013348102569580078,95.7,70.5,99
BFS_checker,50,0.02379012107849121,94.3,70.5,99
PRM,50,0.18161988258361816,82.4,69.9,
Astar,50,0.016219139099121094,95.6,70.5,99
BFS_checker,50,0.0311739444732666,95.8,70.5,99
PRM,50,0.15326690673828125,84.5,69.9,
Astar,50,0.005769014358520508,95.3,70.5,99
BFS_checker,50,0.018572092056274414,95.1,70.5,99
PRM,50,0.2038273811340332,83.6,69.9,120
Astar,50,0.006218910217285156,94.2,70.5,99
BFS_checker,50,0.030362844467163086,93.5,70.5,99
PRM,50,0.16021394729614258,80.7,69.9,121
BFS_checker,50,0.021500825881958008,94.6,70.5,99
Astar,50,0.013844966888427734,95.1,70.5,99
PRM,50,0.18609619140625,83.1,69.9,
Astar,50,0.011651039123535156,95.5,70.5,99
BFS_checker,50,0.016012907028198242,93.6,70.5,99
PRM,50,0.171738862991333,82.4,69.9,
Astar,50,0.011126995086669922,93.6,70.4,99
BFS_checker,50,0.01796889305114746,93.7,70.4,99
PRM,50,0.11678528785705566,93.6,69.9,119
Astar,50,0.011981964111328125,94.0,70.6,99
BFS_checker,50,0.019043922424316406,94.0,70.6,99
PRM,50,0.15408611297607422,82.0,69.9,127
Astar,50,0.018954992294311523,95.6,70.6,99
BFS_checker,50,0.03373312950134277,94.4,70.6,99
PRM,50,0.24016094207763672,81.0,70.6,118
Astar,50,0.005840778350830078,100.0,70.3,99
BFS_checker,50,0.028625965118408203,0.0,70.3,99
PRM,50,0.17542600631713867,83.5,70.0,120
Astar,50,0.014532089233398438,94.2,70.5,99
BFS_checker,50,0.024017810821533203,93.8,70.5,99
PRM,50,0.16614985466003418,81.2,70.0,120
Astar,50,0.016254901885986328,94.4,70.6,99
BFS_checker,50,0.025115966796875,94.0,70.6,99
PRM,50,0.19081807136535645,80.2,70.0,
BFS_checker,50,0.020054101943969727,94.0,70.3,99
Astar,50,0.013277053833007812,93.4,70.3,99
PRM,50,0.17949700355529785,80.6,69.9,120
Astar,50,0.01364898681640625,95.2,70.5,99
BFS_checker,50,0.029296875,94.8,70.5,99
PRM,50,0.2130429744720459,79.8,70.0,119
Astar,50,0.018269777297973633,95.1,70.5,99
BFS_checker,50,0.03127312660217285,93.8,70.5,99
PRM,50,0.2476639747619629,94.1,70.0,119
Astar,50,0.011720895767211914,96.3,70.5,99
BFS_checker,50,0.027678966522216797,96.4,70.4,99
PRM,50,0.14850306510925293,87.1,70.0,120
Astar,50,0.01934504508972168,93.2,70.5,99
BFS_checker,50,0.026591062545776367,93.2,70.5,99
PRM,50,0.1879899501800537,94.1,70.0,
BFS_checker,50,0.013211965560913086,95.6,70.6,101
Astar,50,0.004951000213623047,96.6,70.6,101
PRM,50,0.11306190490722656,87.9,69.8,125
Astar,50,0.020913124084472656,94.2,70.5,99
BFS_checker,50,0.03568673133850098,94.8,70.5,99
PRM,50,0.24823379516601562,83.9,69.8,
Astar,50,0.013265848159790039,95.0,70.7,99
BFS_checker,50,0.024518728256225586,94.6,70.7,99
PRM,50,0.1606910228729248,83.3,70.0,118
Astar,50,0.01831817626953125,93.5,70.6,99
BFS_checker,50,0.0318751335144043,93.7,70.6,99
PRM,50,0.23409008979797363,94.0,70.6,119
Astar,50,0.008378028869628906,100.0,70.6,99
BFS_checker,50,0.026249408721923828,100.0,70.6,99
PRM,50,0.17861008644104004,80.5,70.6,119
